000248056;00002
000590051;00031
001340025;00002
001740063;00006
002021032;00001
002129017;00006
002177018;00002
002309033;00001
002309045;00012
002309058;00006
002309060;00006
002309072;00002
002516060;00011
002860017;00001
002860031;00002
002860043;00003
002955060;00002
002955108;00001
003136025;00012
003235049;00003
003410026;00007
003410065;00019
003488057;00001
003559059;00003
003763265;00002
003785033;00004
003785045;00004
003803107;00001
003950019;00002
004347011;00001
004398018;00025
004556015;00014
004556027;00003
004561015;00003
004642031;00005
004758025;00112
004763114;00080
004763153;00015
004763330;00056
004763405;00002
004853014;00001
004853026;00002
004901195;00008
004901219;00025
004901233;00001
004930020;00002
004975013;00005
004975025;00003
005125012;00020
005125024;00010
005170028;00001
005239052;00001
005268038;00001
005472028;00003
005494024;00002
005638022;00002
005647033;00002
005781036;00001
005781048;00011
006152021;00001
006228062;00021
006570257;00003
006979025;00042
006979037;00001
006979049;00001
007645056;00002
008679033;00002
008776078;00003
008891018;00010
008997064;00012
009115027;00002
009115078;00002
009132010;00001
009277017;00003
009286016;00005
009340011;00002
009956018;00001
009964038;00002
010058030;00002
010089011;00005
010089035;00006
010089047;00008
010318032;00014
010386023;00001
010386062;00001
010386074;00004
010495048;00002
010495051;00001
010772022;00001
010834024;00003
011226026;00001
011782012;00003
011825015;00001
012048043;00002
012235038;00002
012235040;00020
012238073;00001
012322020;00001
012611125;00005
012745016;00080
012745042;00008
012745055;00015
012745067;00012
012745079;00020
012745081;00028
012745093;00203
012745117;00018
012745143;00012
012745168;00094
012745182;00385
012745220;00002
012745271;00001
012812018;00002
013046038;00016
013046040;00008
013046077;00045
013046089;00041
013046115;00010
013868031;00012
013967056;00012
013972056;00002
014137020;00002
014159026;00002
014159040;00011
014205037;00021
014302032;00003
014371037;00013
014371052;00014
014371088;00018
014729166;00001
015094016;00006
015228012;00002
015521091;00001
015598028;00039
015724026;00002
015724038;00006
015724065;00004
015784097;00017
015896018;00005
015896107;00003
015896121;00005
015960014;00002
016094017;00001
016222073;00002
016242149;00014
016242152;00019
016242164;00004
016242214;00046
016242238;00001
016242240;00007
016242289;00002
016366027;00020
016805032;00001
016805095;00010
016861015;00002
017076074;00008
017076148;00003
017389091;00006
017389103;00006
017651035;00003
017758018;00004
017758020;00006
017758069;00003
017837028;00003
017863034;00002
017932029;00006
018155046;00001
018259022;00004
018259034;00004
018269050;00001
018469066;00008
018505038;00002
018554081;00024
018610042;00012
018610067;00001
018610079;00003
018723080;00011
018805022;00002
019133038;00002
019449014;00008
019449038;00034
019499019;00002
019499072;00004
019499084;00002
019655012;00033
019655051;00060
019655152;00030
019655315;00021
019803028;00002
019822028;00002
019888015;00002
019906015;00003
019906027;00002
019906054;00010
019941020;00001
019994033;00001
019994060;00001
019995048;00002
019995063;00002
020008052;00002
020009080;00002
020019028;00002
020051037;00004
020096020;00006
020124020;00017
020124121;00020
020157018;00021
020163349;00019
020213144;00018
020305037;00002
020305049;00004
020305064;00002
020305076;00002
020423265;00001
020445021;00002
020465011;00002
020558021;00003
020582033;00003
020582209;00005
020582223;00029
020582274;00024
020602013;00002
020602025;00010
020602049;00002
020602052;00001
020605022;00002
020605073;00002
020609018;00002
020609069;00002
020609083;00001
020609095;00001
020660041;00013
020676019;00001
020676021;00002
020676033;00002
020676045;00001
020702054;00011
020702080;00022
020702229;00007
020702282;00008
020702344;00012
020706014;00002
020706026;00004
020706038;00003
020708069;00010
020731081;00001
020739037;00004
020766010;00003
020766022;00001
020766046;00003
020780045;00001
020835031;00004
020835043;00003
020851046;00001
020854028;00005
020867026;00001
020883094;00001
020891077;00004
020942025;00003
020949020;00002
020957039;00003
021004027;00002
021004041;00023
021004205;00018
021053018;00001
021091018;00001
021110034;00001
021168012;00002
021168051;00002
021213018;00001
021226016;00002
021259015;00001
021259027;00007
021266059;00001
021377039;00002
021432024;00002
021458031;00001
021460062;00001
021460074;00002
021462066;00004
021462078;00003
021473018;00001
021481256;00029
021483096;00001
021510019;00005
021528157;00009
021553021;00003
021625064;00034
021625076;00019
021633019;00007
021633021;00005
021633033;00007
021635065;00007
021643010;00003
021643022;00006
021643046;00004
021736020;00007
021736032;00004
021822010;00001
021902010;00002
021922024;00003
021925060;00090
021978046;00003
021993050;00004
021998024;00003
022019020;00004
022019032;00007
022033031;00003
022085082;00003
022086110;00001
022088052;00003
022088064;00003
022088076;00004
022088088;00002
022211039;00002
022228074;00002
022240016;00002
022258014;00004
022258040;00001
022309013;00001
022323036;00005
022323063;00030
022323075;00002
022323099;00040
022323113;00014
022441036;00004
022441048;00010
022483034;00005
022483109;00002
022483111;00007
022483162;00004
022483200;00001
022483248;00005
022483251;00003
022531053;00006
022531077;00008
022531127;00002
022535037;00001
022571018;00001
022593103;00137
022593115;00004
022593204;00004
022593216;00033
022628061;00002
022629113;00006
022632145;00024
022632184;00016
022633059;00004
022711129;00002
022717021;00003
022760019;00018
022760159;00001
022803035;00002
022803047;00001
022816021;00005
022816060;00002
022816072;00002
022837088;00013
022863068;00001
022864021;00005
022865176;00006
022865188;00002
022865190;00001
022865202;00001
022867016;00006
022867028;00003
022905057;00007
022905145;00003
022905158;00004
022921086;00001
022921098;00001
022928028;00003
022941076;00001
022959011;00002
022959023;00004
022984052;00023
022991057;00002
022991158;00003
022999015;00002
022999027;00002
023014018;00002
023070016;00004
023075029;00004
023087024;00002
023087075;00001
023090044;00004
023103132;00003
023108184;00018
023142019;00004
023142033;00004
